в с {'rel_weight': 0.9800692352661827, 'rel_center': 0.9981518120092534, 'rel_inertia': 0.9997620183183185}
в т {'rel_weight': 0.9699866452915638, 'rel_center': 0.998895774203598, 'rel_inertia': 0.9964379884037536}
в у {'rel_weight': 0.9918752224289833, 'rel_center': 0.9950564937324734, 'rel_inertia': 0.9979675097268154}
в ф {'rel_weight': 0.9276261167534605, 'rel_center': 0.9927004504980644, 'rel_inertia': 0.9943771778680406}
в х {'rel_weight': 0.9817554067094061, 'rel_center': 0.9988197980856138, 'rel_inertia': 0.9995372228074112}
в ц {'rel_weight': 0.998973864851942, 'rel_center': 0.9947688096215974, 'rel_inertia': 0.998445339398438}
в ч {'rel_weight': 0.9751779445507165, 'rel_center': 0.9965772365176065, 'rel_inertia': 0.9991024268134119}
в ш {'rel_weight': 0.9705412702786737, 'rel_center': 0.9931042397163026, 'rel_inertia': 0.9962622738884865}
в щ {'rel_weight': 0.9591031750671218, 'rel_center': 0.9882548636787792, 'rel_inertia': 0.9947508031288056}
в ъ {'rel_weight': 0.992889712355154, 'rel_center': 0.9981291769486513, 'rel_inertia': 0.9996566996302312}
в ы {'rel_weight': 0.9835568415842163, 'rel_center': 0.9942948529909755, 'rel_inertia': 0.9975279314709293}
в ь {'rel_weight': 0.9845703375485063, 'rel_center': 0.9963200472402421, 'rel_inertia': 0.9996872852650099}
в э {'rel_weight': 0.9844365586571432, 'rel_center': 0.9983158327621273, 'rel_inertia': 0.9998148885657351}
в ю {'rel_weight': 0.9736265459607369, 'rel_center': 0.9973479394027073, 'rel_inertia': 0.9974989090225554}
в я {'rel_weight': 0.9992219132130111, 'rel_center': 0.9984321482432283, 'rel_inertia': 0.9997122553037597}
г а {'rel_weight': 0.979695381744439, 'rel_center': 0.9974601275325409, 'rel_inertia': 0.9992626698848839}
г б {'rel_weight': 0.958524872186216, 'rel_center': 0.9933034066778286, 'rel_inertia': 0.997826422859802}
г в {'rel_weight': 0.9795420934314187, 'rel_center': 0.9984141888179205, 'rel_inertia': 0.9995320469972051}
г г {'rel_weight': 0.9970281093566808, 'rel_center': 0.9994921315727495, 'rel_inertia': 0.9998424926142148}
г д {'rel_weight': 0.9678169310154834, 'rel_center': 0.9940826596467551, 'rel_inertia': 0.9982363381232215}
г е {'rel_weight': 0.9817132133558336, 'rel_center': 0.9985772185362313, 'rel_inertia': 0.99951202346693}
г ё {'rel_weight': 0.969032089278699, 'rel_center': 0.9979377786089982, 'rel_inertia': 0.9989480467666508}
г ж {'rel_weight': 0.9664763550416149, 'rel_center': 0.9970219180754203, 'rel_inertia': 0.9984256774913512}
г з {'rel_weight': 0.9974785949167185, 'rel_center': 0.9984731585574244, 'rel_inertia': 0.9999319326099428}
г и {'rel_weight': 0.9939038148313033, 'rel_center': 0.9978782643598352, 'rel_inertia': 0.9993690149259745}
г й {'rel_weight': 0.9807851222970015, 'rel_center': 0.9982374839683543, 'rel_inertia': 0.9987319770866925}
г к {'rel_weight': 0.9999507173467006, 'rel_center': 0.9992360279687243, 'rel_inertia': 0.9997165274449542}
г л {'rel_weight': 0.9895476396812898, 'rel_center': 0.9988569685292751, 'rel_inertia': 0.9992553883169628}
г м {'rel_weight': 0.9549908798060386, 'rel_center': 0.9961119483075641, 'rel_inertia': 0.9977292792429823}
г н {'rel_weight': 0.9932154109528303, 'rel_center': 0.99963970833036, 'rel_inertia': 0.9993385871933307}
г о {'rel_weight': 0.9897204374159673, 'rel_center': 0.9992810345703446, 'rel_inertia': 0.9993662031596143}
г п {'rel_weight': 0.9924656917491491, 'rel_center': 0.997949667414452, 'rel_inertia': 0.9993288166093088}
г р {'rel_weight': 0.9715850364555463, 'rel_center': 0.9928585928565831, 'rel_inertia': 0.9975390929357014}
